rating_id,judge_clip_id,media_sha256,duplicate_group_size
aprime_0188_15cfcbf4aedf,aprime_global_5baf8ebcbdf4f9e90440,5baf8ebcbdf4f9e90440d4defface38f808ec1ebde8103d2a3e931e7be5f41bc,1
aprime_0189_bcdf8b205064,aprime_global_1a1ea8cdf4261be7d32d,1a1ea8cdf4261be7d32dd354e242eb6df8d43c53b3614ec1b0e1a3214360d339,1
aprime_0190_7eaa555acfbc,aprime_global_da77cff61ccb0af2a14e,da77cff61ccb0af2a14e6effc95e0fde0c3f9bbf3095b5745303debc2961dc86,1
aprime_0191_71a7fbc70005,aprime_global_f74abd3551256684f263,f74abd3551256684f2630992b6cf962152acd49ee1f4e145462f74df4c56d4b8,1
aprime_0192_7f913804f03f,aprime_global_e403804292538c078216,e403804292538c078216d1f50e95d820da0eda01b7b57602633682d54bf04c6c,1
aprime_0193_202baeeb3e5c,aprime_global_113b6919d8e1bee993f7,113b6919d8e1bee993f72a5ab5f06f70074885b4e6217f4911c236ae0260753a,1
aprime_0195_31209987bc34,aprime_global_7b4fc41922e14a040aba,7b4fc41922e14a040aba1166737288fcbc48e586e73d0677bd9a64adfab86dd1,1
aprime_0196_833ae79af162,aprime_global_261e97360b4aedd636f6,261e97360b4aedd636f6a0e0c3246e24e474e4d36601df83828d2092755db43a,1
aprime_0198_f10f669859f1,aprime_global_e0ae337a96415049dfaf,e0ae337a96415049dfaf384998d6656e93634a47aa2d18589378b80ed2a0f2d9,1
aprime_0200_9bb4ac35bf8c,aprime_global_3f9bc3800195d3422c67,3f9bc3800195d3422c671f17fff1170da0fd6ee79b53111f9db2f0779ebdbc9c,1
aprime_0202_fb721ae8299f,aprime_global_2deaa740ddf34cb1db57,2deaa740ddf34cb1db57da97818ef99ef54b1888425723a467982c55c66aad38,1
aprime_0204_77e540d9f159,aprime_global_ce59e9ada624d8c6a06c,ce59e9ada624d8c6a06c3b84dc0fb58940519a48ca9c55815156644c1f271bfa,3
aprime_0205_c31da1d6d02a,aprime_global_d85530c8f4c8d7bf715c,d85530c8f4c8d7bf715c931003a88cb6c28a19fcffb2c59653cbcce0668b151a,1
aprime_0207_2ca80d663cfc,aprime_global_56ed5c0278b3da862633,56ed5c0278b3da862633036df79f19c75c4100092d241fb25b9de60e49be4424,1
aprime_0208_2e39b3a1e145,aprime_global_2ac616a63a7e04e71e30,2ac616a63a7e04e71e30b1954f0ccbe90a92693c9bf69a51c20499bdfaea1a0a,1
aprime_0209_f8576be596bc,aprime_global_acc59a9813af240e9c61,acc59a9813af240e9c618919ea4912250ddb8234f9f6cce691eb70f1180a55c7,1
aprime_0212_28f643c4f836,aprime_global_778e65549b45ad95cb58,778e65549b45ad95cb5807be7c8800b30c9dbb5f95cecc298f783cbe893a18d2,1
aprime_0213_5c3b048f3226,aprime_global_3891786077e4c8603b90,3891786077e4c8603b90975f9c742c735467321bce8d982f0b92bd3d434867ce,1
aprime_0214_84e9254a9c1f,aprime_global_7f546ee53ab98d4c7299,7f546ee53ab98d4c729948e32fa170fb483d2e25631050790a3bcb40d0d00ad9,1
aprime_0215_668cde28479c,aprime_global_66ee83a84cb764539a76,66ee83a84cb764539a7686aaa39a0d423a23f39367b67b3573ddfc9c45ce068f,1
