source_path,corpus,source_family,prompt_id,condition,arm,rep,attempt,seed,requested_vocal,present,type_correct,ledger_path,size_bytes
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0016/a6_r0_t03_seed2026334003.flac,PH2_ONLINE,online_run,held_out_0016,arm6,6,0,3,2026334003,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w0.jsonl,15535707
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0016/a6_r0_t05_seed2026334005.flac,PH2_ONLINE,online_run,held_out_0016,arm6,6,0,5,2026334005,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w0.jsonl,16107670
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0016/a6_r0_t06_seed2026334006.flac,PH2_ONLINE,online_run,held_out_0016,arm6,6,0,6,2026334006,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w0.jsonl,15360833
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0016/a6_r1_t02_seed2026334102.flac,PH2_ONLINE,online_run,held_out_0016,arm6,6,1,2,2026334102,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w0.jsonl,14859215
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0016/a6_r1_t03_seed2026334103.flac,PH2_ONLINE,online_run,held_out_0016,arm6,6,1,3,2026334103,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w0.jsonl,15620713
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0016/a6_r1_t04_seed2026334104.flac,PH2_ONLINE,online_run,held_out_0016,arm6,6,1,4,2026334104,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w0.jsonl,13468810
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0016/a6_r1_t05_seed2026334105.flac,PH2_ONLINE,online_run,held_out_0016,arm6,6,1,5,2026334105,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w0.jsonl,16662290
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0016/a6_r2_t02_seed2026334202.flac,PH2_ONLINE,online_run,held_out_0016,arm6,6,2,2,2026334202,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w0.jsonl,16238954
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0016/a6_r2_t03_seed2026334203.flac,PH2_ONLINE,online_run,held_out_0016,arm6,6,2,3,2026334203,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w0.jsonl,15588145
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0016/a6_r2_t04_seed2026334204.flac,PH2_ONLINE,online_run,held_out_0016,arm6,6,2,4,2026334204,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w0.jsonl,16281719
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0016/a6_r2_t07_seed2026334207.flac,PH2_ONLINE,online_run,held_out_0016,arm6,6,2,7,2026334207,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w0.jsonl,15555064
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0017/a1_r0_t01_seed2026335001.flac,PH2_ONLINE,online_run,held_out_0017,arm1,1,0,1,2026335001,1,0,0,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w1.jsonl,13050644
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0017/a1_r1_t03_seed2026335103.flac,PH2_ONLINE,online_run,held_out_0017,arm1,1,1,3,2026335103,1,0,0,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w1.jsonl,12765553
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0017/a6_r0_t04_seed2026335004.flac,PH2_ONLINE,online_run,held_out_0017,arm6,6,0,4,2026335004,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w1.jsonl,13973112
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0017/a6_r0_t06_seed2026335006.flac,PH2_ONLINE,online_run,held_out_0017,arm6,6,0,6,2026335006,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w1.jsonl,13774722
