schedule,compute_fraction,selection_metric,evaluation_metric,stratum,n_prompt_evals,reward_fraction,winner_match,mean_regret,median_regret
random_prune_keep4_keep2,0.5,common_robust_lcb,lyric_intelligibility,instrumental,19600,1.0,0.24933673469387754,0.0,0.0
full_bon8,1.0,common_robust_lcb,section_coherence,instrumental,196,1.0,1.0,0.0,0.0
bon4_first4,0.5,common_robust_lcb,section_coherence,instrumental,196,0.9967851901681135,0.45918367346938777,0.003131102846593273,0.0005415976047515869
bon4_random_subset,0.5,common_robust_lcb,section_coherence,instrumental,19600,0.996691428692442,0.5023469387755102,0.0032224229677599303,0.0
raw_schedule_a_sigma0.9_top4_sigma0.7_top2,0.5,common_robust_lcb,section_coherence,instrumental,196,0.9919318513381901,0.2653061224489796,0.007858070791984091,0.00592416524887085
raw_schedule_b_sigma0.8_top4_sigma0.7_top2,0.5833333333333334,common_robust_lcb,section_coherence,instrumental,196,0.992453678938458,0.25,0.007349830500933589,0.005802631378173828
raw_schedule_c_sigma0.8_top6,0.85,common_robust_lcb,section_coherence,instrumental,196,0.9981947351712767,0.6581632653061225,0.0017582594740147494,0.0
raw_bottom_prune_sigma0.8_remove_bottom25,0.85,common_robust_lcb,section_coherence,instrumental,196,0.9981947351712767,0.6581632653061225,0.0017582594740147494,0.0
raw_bottom_prune_sigma0.7_remove_bottom25,0.8833333333333333,common_robust_lcb,section_coherence,instrumental,196,0.9981665540629122,0.6785714285714286,0.0017857068047231557,0.0
random_prune_keep4_keep2,0.5,common_robust_lcb,section_coherence,instrumental,19600,0.9921807161314654,0.2438265306122449,0.00761568592215071,0.005492806434631348
full_bon8,1.0,common_robust_lcb,common_robust_lcb,vocal_scorable,282,1.0,1.0,0.0,0.0
bon4_first4,0.5,common_robust_lcb,common_robust_lcb,vocal_scorable,282,0.9809325836985866,0.48226950354609927,0.04396120845646979,0.0020130564791436267
bon4_random_subset,0.5,common_robust_lcb,common_robust_lcb,vocal_scorable,28200,0.9819145509841045,0.49868794326241134,0.041697216951082534,6.196539493075193e-05
raw_schedule_a_sigma0.9_top4_sigma0.7_top2,0.5,common_robust_lcb,common_robust_lcb,vocal_scorable,282,0.9874456875142037,0.5815602836879432,0.02894481032413613,0.0
raw_schedule_b_sigma0.8_top4_sigma0.7_top2,0.5833333333333334,common_robust_lcb,common_robust_lcb,vocal_scorable,282,0.9913378363324857,0.6666666666666666,0.019971199907321546,0.0
raw_schedule_c_sigma0.8_top6,0.85,common_robust_lcb,common_robust_lcb,vocal_scorable,282,0.9983985425797615,0.9361702127659575,0.00369226760313861,0.0
raw_bottom_prune_sigma0.8_remove_bottom25,0.85,common_robust_lcb,common_robust_lcb,vocal_scorable,282,0.9983985425797615,0.9361702127659575,0.00369226760313861,0.0
