prompt_id,root_index,checkpoint_step,oracle_action,oracle_cqs,oracle_cost_nfe,oracle_output_sha256,oracle_level,oracle_selected,oracle_success_count,oracle_option_value,stratum,design_weight,best_static_program,best_static_cqs,best_static_nfe,oracle_tree_nfe,oracle_minimum_success_nfe,oracle_cheapest_successful,oracle_quality_floor_failures,oracle_completion,compute_saving,matched_oracle_nfe,nonstatic_program
dev_0133,1,18,RESTART_CONDITIONED,1,74,cb0d5c6025e433ca87a09d0f6f11c7b2b276963046778d73d68519d851772427,,,,,,,,,,,,,,,,,
dev_0133,0,,,1,90,,per_root_feasible_subset,root0_step12_RESTART_BASE;root0_step18_FORK_LATENT,2,24.583082157020492,,,,,,,,,,,,,
dev_0133,1,,,1,77,,per_root_feasible_subset,root1_base;root1_step18_SWITCH_CONDITION;root1_step18_FORK_LATENT,3,42.247473395980094,,,,,,,,,,,,,
dev_0137,0,6,RESTART_CONDITIONED,1,51,b1a2285e9435b7bd02f42107dff205504e4c0967332601c808fe8b8e7a117873,,,,,,,,,,,,,,,,,
dev_0137,0,12,RESTART_CONDITIONED,1,62,d0efb63a00db77dee2df30d19d4f0580229ea228c3f2ac245df9549a9cdf9f7c,,,,,,,,,,,,,,,,,
dev_0137,0,18,RESTART_BASE,1,74,72ea1f9299026ec8d23d77ce2f6b9b9555db7edd347701d940b5ff7dc951ed03,,,,,,,,,,,,,,,,,
dev_0137,1,6,SWITCH_CONDITION,1,45,2a891246c1f9cf54a0582d810a839b7d6b21b09de7175bf48fa1c966077d8ff2,,,,,,,,,,,,,,,,,
dev_0137,1,12,RESTART_CONDITIONED,1,62,c4cbab4ebd30ed480d6f3d9e105c5b9b657c2112aaf3e589219ec516728657fa,,,,,,,,,,,,,,,,,
dev_0137,1,18,RESTART_CONDITIONED,1,74,0ac187afda340eccf03ffd9f7e23727e6349b217fc543b6dd474363ad3f2243b,,,,,,,,,,,,,,,,,
dev_0137,0,,,1,90,,per_root_feasible_subset,root0_step6_SWITCH_CONDITION;root0_step6_RESTART_CONDITIONED,2,28.579953984012327,,,,,,,,,,,,,
dev_0137,1,,,1,90,,per_root_feasible_subset,root1_step6_SWITCH_CONDITION;root1_step6_RESTART_BASE,2,38.20589486669275,,,,,,,,,,,,,
