replicate,best_static_cqs,promptonly_policy_cqs,promptstate_policy_cqs,state_incremental_value,crossfit_nonstatic_share
133,0.8163315683588205,0.8296151615013392,0.8296151615013392,0.0,0.0993137581614643
134,0.7204697824723869,0.7276594077075194,0.7276594077075194,0.0,0.15229344523223845
135,0.7377250870109155,0.7432392370313713,0.7432392370313713,0.0,0.06576068588911221
136,0.8234753064404106,0.8253524299363654,0.8253524299363654,0.0,0.07490974164523616
137,0.8287038741425223,0.8382757181950938,0.8382757181950938,0.0,0.05409932628943783
138,0.7249450424626321,0.7388765276190858,0.7388765276190858,0.0,0.13924135212246347
139,0.9179926394977539,0.9222546950262488,0.9222546950262488,0.0,0.11599556205011635
140,0.8109721902468109,0.8199597404973997,0.8199597404973997,0.0,0.05107998181828914
141,0.7645866733293079,0.777703748429768,0.777703748429768,0.0,0.09119490307938952
142,0.8047191039644013,0.8085115796925567,0.8085115796925567,0.0,0.11331917475728155
143,0.7725456081294048,0.7800629121121575,0.7800629121121575,0.0,0.16487953402171032
144,0.7454331667576534,0.7475328602024103,0.7475328602024103,0.0,0.066966222931452
145,0.7969797056072089,0.7969797056072089,0.7969797056072089,0.0,0.06801071676307933
146,0.7989308200493865,0.8047001254056291,0.8047001254056291,0.0,0.07939339875111506
147,0.8806609125155921,0.8806609125155921,0.8806609125155921,0.0,0.085744999592571
148,0.7666090701925726,0.7744972829489395,0.7744972829489395,0.0,0.0786504895700298
149,0.8648342261101906,0.8763471938546122,0.8763471938546122,0.0,0.10895089085000063
150,0.9006990784874483,0.9154858884363174,0.9154858884363174,0.0,0.18603937371811538
151,0.8684147913155547,0.8718846039456725,0.8718846039456725,0.0,0.08337133604309176
152,0.8253647237779159,0.8315356426744105,0.8315356426744105,0.0,0.12082555486413606
153,0.8223184990942373,0.8437432701199661,0.8437432701199661,0.0,0.12871014327518718
154,0.7724494593323928,0.7766807710390219,0.7766807710390219,0.0,0.09983209080529248
155,0.8668540025021777,0.8727000596068566,0.8727000596068566,0.0,0.06205008286008107
156,0.8908273278697877,0.9066094959213554,0.9066094959213554,0.0,0.07683190406470054
157,0.762496426869938,0.7644020962363031,0.7644020962363031,0.0,0.1610417659202795
158,0.8593974598798858,0.8737717830067934,0.8737717830067934,0.0,0.13085884939778805
159,0.8507774597158947,0.8583370291228212,0.8583370291228212,0.0,0.08063204719859157
160,0.690229863897991,0.6957064663794903,0.6957064663794903,0.0,0.10338966410171448
161,0.8490770037532628,0.8527890218537701,0.8527890218537701,0.0,0.0924704953481932
162,0.8092020528265996,0.8170784869320546,0.8170784869320546,0.0,0.08106947774453274
163,0.6652198581560282,0.6701843971631205,0.6701843971631205,0.0,0.05861623325453112
164,0.6552217453505007,0.665352496922514,0.665352496922514,0.0,0.12765079681937652
165,0.6967626422710219,0.7118517534369643,0.7118517534369643,0.0,0.18502666691973355
166,0.8197461636995792,0.8255790395524536,0.8255790395524536,0.0,0.09383904530363632
167,0.7932945124233255,0.7949596249849348,0.7949596249849348,0.0,0.07306513920341015
168,0.6948966890714463,0.6986308190191685,0.6986308190191685,0.0,0.11223861090365943
169,0.8073874435460706,0.818525444756125,0.818525444756125,0.0,0.08123865573950827
170,0.8604475198467181,0.8693259133151494,0.8693259133151494,0.0,0.10698616679175743
171,0.7235847449855232,0.7435804215959858,0.7435804215959858,0.0,0.12186718023293898
172,0.7486178236672526,0.7558948447568835,0.7558948447568835,0.0,0.11766500683460263
173,0.7442383676725374,0.7687774994079448,0.7687774994079448,0.0,0.09458549900908649
174,0.6928272022022023,0.7040415415415415,0.7040415415415415,0.0,0.09717217217217217
175,0.7584432118432081,0.7603624871248617,0.7603624871248617,0.0,0.07718045665956536
