prompt_id,stratum,design_weight,checkpoint_step,fold,tier,direction,source_root,target_root,selected_action,selected_predicted_value,all_action_values,target_program_cqs,target_program_nfe
dev_0217,vocal_request,13.0,6,0,promptonly,root_b_to_a,1,0,RESTART_BASE,0.9166228855419549,"{""CONTINUE"": 0.7570300057255187, ""FORK_LATENT"": 0.7570300057255187, ""RESTART_BASE"": 0.9166228855419549}",1,90
dev_0217,vocal_request,13.0,12,0,promptonly,root_b_to_a,1,0,RESTART_BASE,0.9166228855419549,"{""CONTINUE"": 0.7570300057255187, ""FORK_LATENT"": 0.7570300057255187, ""RESTART_BASE"": 0.9166228855419549, ""SWITCH_CONDITION"": 0.7436788257039392}",1,90
dev_0217,vocal_request,13.0,18,0,promptonly,root_b_to_a,1,0,RESTART_BASE,0.9166228855419549,"{""CONTINUE"": 0.7570300057255187, ""FORK_LATENT"": 0.7570300057255187, ""RESTART_BASE"": 0.9166228855419549, ""SWITCH_CONDITION"": 0.7436788257039392}",1,90
dev_0254,high_risk_instrumental,2.3333333333333335,6,0,promptonly,root_b_to_a,1,0,RESTART_CONDITIONED,0.6585166631965841,"{""CONTINUE"": 0.08125169318988461, ""FORK_LATENT"": 0.08125169318988455, ""RESTART_BASE"": 0.2006846264552713, ""RESTART_CONDITIONED"": 0.6585166631965841, ""SWITCH_CONDITION"": 0.2939096394388501}",0,90
dev_0254,high_risk_instrumental,2.3333333333333335,12,0,promptonly,root_b_to_a,1,0,RESTART_CONDITIONED,0.6585166631965841,"{""CONTINUE"": 0.08125169318988461, ""FORK_LATENT"": 0.08125169318988455, ""RESTART_BASE"": 0.2006846264552713, ""RESTART_CONDITIONED"": 0.6585166631965841, ""SWITCH_CONDITION"": 0.2939096394388501}",1,90
dev_0254,high_risk_instrumental,2.3333333333333335,18,0,promptonly,root_b_to_a,1,0,RESTART_CONDITIONED,0.6585166631965841,"{""CONTINUE"": 0.08125169318988461, ""FORK_LATENT"": 0.08125169318988455, ""RESTART_BASE"": 0.2006846264552713, ""RESTART_CONDITIONED"": 0.6585166631965841, ""SWITCH_CONDITION"": 0.2939096394388501}",1,90
dev_0010,medium_risk_instrumental,2.0,6,0,promptstate,root_b_to_a,1,0,RESTART_CONDITIONED,0.7210429193761198,"{""CONTINUE"": 0.3043793872496871, ""FORK_LATENT"": 0.3043793872496871, ""RESTART_BASE"": 0.5687183064207616, ""RESTART_CONDITIONED"": 0.7210429193761198, ""SWITCH_CONDITION"": 0.6337182167959893}",0,90
dev_0010,medium_risk_instrumental,2.0,12,0,promptstate,root_b_to_a,1,0,RESTART_CONDITIONED,0.7261563407160868,"{""CONTINUE"": 0.29421017687542744, ""FORK_LATENT"": 0.29421017687542744, ""RESTART_BASE"": 0.516727773062023, ""RESTART_CONDITIONED"": 0.7261563407160868, ""SWITCH_CONDITION"": 0.5205743398497369}",0,90
dev_0010,medium_risk_instrumental,2.0,18,0,promptstate,root_b_to_a,1,0,RESTART_CONDITIONED,0.8137546983638384,"{""CONTINUE"": 0.3500056474596723, ""FORK_LATENT"": 0.3500056474596723, ""RESTART_BASE"": 0.4530560410249091, ""RESTART_CONDITIONED"": 0.8137546983638384, ""SWITCH_CONDITION"": 0.4035881975737375}",1,90
dev_0011,vocal_request,15.0,6,0,promptstate,root_b_to_a,1,0,RESTART_BASE,0.8608762625308343,"{""CONTINUE"": 0.7932934195993975, ""FORK_LATENT"": 0.7932934195993975, ""RESTART_BASE"": 0.8608762625308343}",0,90
dev_0011,vocal_request,15.0,12,0,promptstate,root_b_to_a,1,0,RESTART_BASE,0.831014007998374,"{""CONTINUE"": 0.7670363709951799, ""FORK_LATENT"": 0.7670363709951799, ""RESTART_BASE"": 0.831014007998374, ""SWITCH_CONDITION"": 0.7738453880641712}",0,90
