unit_id,prompt_rank,prompt_id,live_stratum,requested_vocal,policy_index,policy,rep,seed,nominal_step_budget,output_ledger
w2live_19_3_1,19,held_out_0124,instrumental_risk,0,3,corrected_probe_direction_action,1,2035001901,60,live_ledgers/live_w{worker}.jsonl
w2live_20_0_0,20,held_out_0009,instrumental_risk,0,0,no_probe_reseed,0,2035002000,60,live_ledgers/live_w{worker}.jsonl
w2live_20_0_1,20,held_out_0009,instrumental_risk,0,0,no_probe_reseed,1,2035002001,60,live_ledgers/live_w{worker}.jsonl
w2live_20_1_0,20,held_out_0009,instrumental_risk,0,1,corrected_probe_abort_reseed,0,2035002000,60,live_ledgers/live_w{worker}.jsonl
w2live_20_1_1,20,held_out_0009,instrumental_risk,0,1,corrected_probe_abort_reseed,1,2035002001,60,live_ledgers/live_w{worker}.jsonl
w2live_20_2_0,20,held_out_0009,instrumental_risk,0,2,always_direction_condition,0,2035002000,60,live_ledgers/live_w{worker}.jsonl
w2live_20_2_1,20,held_out_0009,instrumental_risk,0,2,always_direction_condition,1,2035002001,60,live_ledgers/live_w{worker}.jsonl
w2live_20_3_0,20,held_out_0009,instrumental_risk,0,3,corrected_probe_direction_action,0,2035002000,60,live_ledgers/live_w{worker}.jsonl
w2live_20_3_1,20,held_out_0009,instrumental_risk,0,3,corrected_probe_direction_action,1,2035002001,60,live_ledgers/live_w{worker}.jsonl
w2live_21_0_0,21,held_out_0178,instrumental_risk,0,0,no_probe_reseed,0,2035002100,60,live_ledgers/live_w{worker}.jsonl
w2live_21_0_1,21,held_out_0178,instrumental_risk,0,0,no_probe_reseed,1,2035002101,60,live_ledgers/live_w{worker}.jsonl
w2live_21_1_0,21,held_out_0178,instrumental_risk,0,1,corrected_probe_abort_reseed,0,2035002100,60,live_ledgers/live_w{worker}.jsonl
w2live_21_1_1,21,held_out_0178,instrumental_risk,0,1,corrected_probe_abort_reseed,1,2035002101,60,live_ledgers/live_w{worker}.jsonl
w2live_21_2_0,21,held_out_0178,instrumental_risk,0,2,always_direction_condition,0,2035002100,60,live_ledgers/live_w{worker}.jsonl
w2live_21_2_1,21,held_out_0178,instrumental_risk,0,2,always_direction_condition,1,2035002101,60,live_ledgers/live_w{worker}.jsonl
w2live_21_3_0,21,held_out_0178,instrumental_risk,0,3,corrected_probe_direction_action,0,2035002100,60,live_ledgers/live_w{worker}.jsonl
w2live_21_3_1,21,held_out_0178,instrumental_risk,0,3,corrected_probe_direction_action,1,2035002101,60,live_ledgers/live_w{worker}.jsonl
w2live_22_0_0,22,held_out_0206,instrumental_risk,0,0,no_probe_reseed,0,2035002200,60,live_ledgers/live_w{worker}.jsonl
w2live_22_0_1,22,held_out_0206,instrumental_risk,0,0,no_probe_reseed,1,2035002201,60,live_ledgers/live_w{worker}.jsonl
w2live_22_1_0,22,held_out_0206,instrumental_risk,0,1,corrected_probe_abort_reseed,0,2035002200,60,live_ledgers/live_w{worker}.jsonl
w2live_22_1_1,22,held_out_0206,instrumental_risk,0,1,corrected_probe_abort_reseed,1,2035002201,60,live_ledgers/live_w{worker}.jsonl
w2live_22_2_0,22,held_out_0206,instrumental_risk,0,2,always_direction_condition,0,2035002200,60,live_ledgers/live_w{worker}.jsonl
w2live_22_2_1,22,held_out_0206,instrumental_risk,0,2,always_direction_condition,1,2035002201,60,live_ledgers/live_w{worker}.jsonl
w2live_22_3_0,22,held_out_0206,instrumental_risk,0,3,corrected_probe_direction_action,0,2035002200,60,live_ledgers/live_w{worker}.jsonl
w2live_22_3_1,22,held_out_0206,instrumental_risk,0,3,corrected_probe_direction_action,1,2035002201,60,live_ledgers/live_w{worker}.jsonl
w2live_23_0_0,23,held_out_0105,instrumental_risk,0,0,no_probe_reseed,0,2035002300,60,live_ledgers/live_w{worker}.jsonl
w2live_23_0_1,23,held_out_0105,instrumental_risk,0,0,no_probe_reseed,1,2035002301,60,live_ledgers/live_w{worker}.jsonl
w2live_23_1_0,23,held_out_0105,instrumental_risk,0,1,corrected_probe_abort_reseed,0,2035002300,60,live_ledgers/live_w{worker}.jsonl
w2live_23_1_1,23,held_out_0105,instrumental_risk,0,1,corrected_probe_abort_reseed,1,2035002301,60,live_ledgers/live_w{worker}.jsonl
w2live_23_2_0,23,held_out_0105,instrumental_risk,0,2,always_direction_condition,0,2035002300,60,live_ledgers/live_w{worker}.jsonl
w2live_23_2_1,23,held_out_0105,instrumental_risk,0,2,always_direction_condition,1,2035002301,60,live_ledgers/live_w{worker}.jsonl
w2live_23_3_0,23,held_out_0105,instrumental_risk,0,3,corrected_probe_direction_action,0,2035002300,60,live_ledgers/live_w{worker}.jsonl
w2live_23_3_1,23,held_out_0105,instrumental_risk,0,3,corrected_probe_direction_action,1,2035002301,60,live_ledgers/live_w{worker}.jsonl
