legacy_packet,legacy_row_id,media_class,flip_risk,new_primary_rating_ids,decisive_rating_ids,canonical_conflict,classification
spotcheck,048a3b2598,original,no,aprime_0680_4345318d0dab,,no,LEGACY_NON_PRIMARY
spotcheck,96b711e3a7,original,no,aprime_0242_d75f2ac745df,,no,LEGACY_NON_PRIMARY
spotcheck,109a31f696,original,no,aprime_0564_41ea0a00617f,,no,LEGACY_NON_PRIMARY
spotcheck,f07dd75551,original,no,aprime_0347_c1e3b56da474,,no,LEGACY_NON_PRIMARY
spotcheck,cb09c10e69,original,no,aprime_0282_16cf52f5ed06,,no,LEGACY_NON_PRIMARY
spotcheck,8267b168f0,original,no,aprime_0126_a6a45628d4c6,,no,LEGACY_NON_PRIMARY
spotcheck,393f2d6019,original,no,aprime_0656_10c9239a727c,,no,LEGACY_NON_PRIMARY
spotcheck,7083396553,original,no,aprime_0678_0359e11aa43e,,no,LEGACY_NON_PRIMARY
spotcheck,a1a793502b,original,no,aprime_0604_4689a2a5a637,,no,LEGACY_NON_PRIMARY
spotcheck,27bbfbd27c,original,no,aprime_0440_5a67c447858a,,no,LEGACY_NON_PRIMARY
spotcheck,760b82308f,original,no,aprime_0234_f26770d95b42,,no,LEGACY_NON_PRIMARY
spotcheck,3954e24faa,original,no,aprime_0395_eda0a4601ec1,,no,LEGACY_NON_PRIMARY
spotcheck,5f538942f7,original,no,aprime_0045_5a7b34ed6e73,,no,LEGACY_NON_PRIMARY
spotcheck,02a0495b02,original,no,aprime_0311_b51e6eaab5cc,,no,LEGACY_NON_PRIMARY
spotcheck,c0461169c3,original,no,aprime_0281_36a3b49e6073,,no,LEGACY_NON_PRIMARY
