source_path,prompt_id,arm,rep,attempt,seed,requested_vocal,type_correct,prompt_vocal_stratum,clap_score,status,error,elapsed_s,device
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0020/a6_r1_t04_seed2026338104.flac,held_out_0020,6,1,4,2026338104,0,1,instrumental,0.4712028503417969,ok,,0.282,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0021/a1_r0_t00_seed2026339000.flac,held_out_0021,1,0,0,2026339000,1,1,vocal,0.527773380279541,ok,,0.398,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0021/a1_r1_t02_seed2026339102.flac,held_out_0021,1,1,2,2026339102,1,0,vocal,0.37082943320274353,ok,,0.434,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0021/a6_r0_t03_seed2026339003.flac,held_out_0021,6,0,3,2026339003,1,1,vocal,0.38191500306129456,ok,,0.425,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0021/a6_r0_t05_seed2026339005.flac,held_out_0021,6,0,5,2026339005,1,1,vocal,0.401836633682251,ok,,1.052,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0021/a6_r0_t06_seed2026339006.flac,held_out_0021,6,0,6,2026339006,1,1,vocal,0.3210311830043793,ok,,0.441,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0021/a6_r0_t07_seed2026339007.flac,held_out_0021,6,0,7,2026339007,1,1,vocal,0.5719133019447327,ok,,0.439,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0021/a6_r1_t03_seed2026339103.flac,held_out_0021,6,1,3,2026339103,1,1,vocal,0.31877225637435913,ok,,0.509,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0021/a6_r1_t04_seed2026339104.flac,held_out_0021,6,1,4,2026339104,1,1,vocal,0.5913384556770325,ok,,0.401,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0021/a6_r1_t06_seed2026339106.flac,held_out_0021,6,1,6,2026339106,1,1,vocal,0.44902682304382324,ok,,0.389,cuda
